rest,rest_code,review,wdate,review_count,clean_review,emotion
진안숯불구이,17387852,밥 깔끔하고 맛있었습니다. 등갈비는 좀 많이 탄 감이 있지만 맛은 괜찮았어요. 그리고 다른 테이블에서 풍겨오는 더덕구이+고기 냄새가 엄청나더라고요. 다음엔 기회가 되면 그걸 먹어야겠어요.,2025-11-06,347,밥 깔끔하고 맛있었습니다 등갈비는 좀 많이 탄 감이 있지만 맛은 괜찮았어요 그리고 다른 테이블에서 풍겨오는 더덕구이고기 냄새가 엄청나더라고요 다음엔 기회가 되면 그걸 먹어야겠어요,1
진안숯불구이,17387852,마이산가면 대부분 비슷하고 풍경도 처음은 아니였는데이번엔 좀 그랬어요 평일에 갔고엄청 바빠보이진 않았는데 갑자기 단체손님온다고아주머니가 응대해주셨는데 주문도 대충받으시고어떤 메뉴는 안된다하고 응대가 언짢았음.. 맛은 나쁘지않았는데 기분이 좋은기억으로 안남아서 아쉽네요,2025-10-23,347,마이산가면 대부분 비슷하고 풍경도 처음은 아니였는데이번엔 좀 그랬어요 평일에 갔고엄청 바빠보이진 않았는데 갑자기 단체손님온다고아주머니가 응대해주셨는데 주문도 대충받으시고어떤 메뉴는 안된다하고 응대가 언짢았음 맛은 나쁘지않았는데 기분이 좋은기억으로 안남아서 아쉽네요,
진안숯불구이,17387852,마이산 탐방길에 우연히 들른 곳인데 더덕과돼지의만남 정식이 정말 특별하네요. 더덕의 쌉싸름함과 돼지고기의 고소함이 어우러져 입안에서 조화롭게 느껴집니다. 반찬도 하나하나 정성스럽고 깔끔하게 나와서 좋았어요.,2025-09-23,347,마이산 탐방길에 우연히 들른 곳인데 더덕과돼지의만남 정식이 정말 특별하네요 더덕의 쌉싸름함과 돼지고기의 고소함이 어우러져 입안에서 조화롭게 느껴집니다 반찬도 하나하나 정성스럽고 깔끔하게 나와서 좋았어요,
진안숯불구이,17387852,음식은쏘쏘.더덕돼지구이.막걸리돼지를 넘바싹구워서 입안이 까짐.가지.오이 무침 맛나요. 된장찌개 넘 짜고,2025-11-01,347,음식은쏘쏘더덕돼지구이막걸리돼지를 넘바싹구워서 입안이 까짐가지오이 무침 맛나요 된장찌개 넘 짜고,
진안숯불구이,17387852,할말이 많은데 간략히 적겠습니다 먹다가 찍었어요!!!!!!!!!1. 날벌레들이 엄청 날아다닙니다(산이라그런가...?) 2.저희가 앉은자리가 시스템상 문제가있었는지 계산하는곳에서 직원분들이랑 부부사장님이 엄청 얘기중이셧어요(여 사장님이 직원분들에게 뭐라하고 직원분은 주문받은거 얘기하는상태/따로 안내는없고 앉은자리를 이동해달란말도없었음) 3.남자사장님이 엄청 화내고 짜증내시면서 언성이 높아지시더라구요 4. 음식이 나오고한개가 누락됨 기다리면 나올줄알았는데 안나옴 5.결제할려고 하니 누락된걸 같이 결제하려하길래 안나왔다하니 오히려 저한테 왜 말안했냐고 하고 직원들이 말안해주고갔다함(그럼 파전은 어떻게 아셧나요?테이블이 우리포함 2테이블임)끝까지 직원탓하시길래 더이상 얘기안하고 나왔습니다 배고프더라도 여긴 안가요,2025-11-01,347,할말이 많은데 간략히 적겠습니다 먹다가 찍었어요1 날벌레들이 엄청 날아다닙니다산이라그런가 2저희가 앉은자리가 시스템상 문제가있었는지 계산하는곳에서 직원분들이랑 부부사장님이 엄청 얘기중이셧어요여 사장님이 직원분들에게 뭐라하고 직원분은 주문받은거 얘기하는상태따로 안내는없고 앉은자리를 이동해달란말도없었음 3남자사장님이 엄청 화내고 짜증내시면서 언성이 높아지시더라구요 4 음식이 나오고한개가 누락됨 기다리면 나올줄알았는데 안나옴 5결제할려고 하니 누락된걸 같이 결제하려하길래 안나왔다하니 오히려 저한테 왜 말안했냐고 하고 직원들이 말안해주고갔다함그럼 파전은 어떻게 아셧나요테이블이 우리포함 2테이블임끝까지 직원탓하시길래 더이상 얘기안하고 나왔습니다 배고프더라도 여긴 안가요,0
진안숯불구이,17387852,청국장찌개백반 시켰는데 구수한 맛이 정말 좋아요. 청국장 냄새도 부담스럽지 않고 된장의 깊은 맛이 느껴집니다. 밥도 윤기가 나고 맛있네요. 전체적으로 집밥 같은 편안함이 있어서 마음이 따뜻해지는 식사였습니다.,2025-10-16,347,청국장찌개백반 시켰는데 구수한 맛이 정말 좋아요 청국장 냄새도 부담스럽지 않고 된장의 깊은 맛이 느껴집니다 밥도 윤기가 나고 맛있네요 전체적으로 집밥 같은 편안함이 있어서 마음이 따뜻해지는 식사였습니다,
진안숯불구이,17387852,"청국장찌개백반 시켜먹었는데 청국장이 진짜 진하고 구수했습니다. 냄새는 좀 강했지만 먹어보니 고소하고 깊은 맛이 일품이었어요. 두부도 부드럽고 야채들도 신선했습니다. 백반으로 나온 반찬들도 하나하나 정성스럽게 만든 티가 났고, 특히 무장아찌가 아삭하고 달콤해서 입맛을 돋우더라고요. 전통적인 한식의 진짜 맛을 느낄 수 있어서 좋았습니다. 가격도 합리적이었어요.",2025-10-14,347,청국장찌개백반 시켜먹었는데 청국장이 진짜 진하고 구수했습니다 냄새는 좀 강했지만 먹어보니 고소하고 깊은 맛이 일품이었어요 두부도 부드럽고 야채들도 신선했습니다 백반으로 나온 반찬들도 하나하나 정성스럽게 만든 티가 났고 특히 무장아찌가 아삭하고 달콤해서 입맛을 돋우더라고요 전통적인 한식의 진짜 맛을 느낄 수 있어서 좋았습니다 가격도 합리적이었어요,
진안숯불구이,17387852,더덕 요리 전문점인 것 같은데 정말 잘하시네요. 더덕의 쌉쌀하면서도 고소한 맛이 살아있어서 맛있었고요. 식당도 깨끗하고 정돈되어 있어서 위생적인 느낌이 들었습니다. 직원분들도 매우 친절하셨어요.,2025-10-28,347,더덕 요리 전문점인 것 같은데 정말 잘하시네요 더덕의 쌉쌀하면서도 고소한 맛이 살아있어서 맛있었고요 식당도 깨끗하고 정돈되어 있어서 위생적인 느낌이 들었습니다 직원분들도 매우 친절하셨어요,
진안숯불구이,17387852,이런 맛집이 마이산 근처에 있는 줄 몰랐네요. 더덕구이 정식 주문했는데 더덕이 정말 신선하고 고소했습니다. 구워서 나오니까 쫄깃하면서도 부드러운 식감이 일품이었어요. 된장찌개도 함께 나왔는데 깊은 맛이 우러나와서 속이 든든했습니다. 식당 내부가 깨끗하고 정리정돈이 잘 되어 있어서 위생적이라는 느낌을 받았어요. 직원분들 서비스도 좋았고요.,2025-10-14,347,이런 맛집이 마이산 근처에 있는 줄 몰랐네요 더덕구이 정식 주문했는데 더덕이 정말 신선하고 고소했습니다 구워서 나오니까 쫄깃하면서도 부드러운 식감이 일품이었어요 된장찌개도 함께 나왔는데 깊은 맛이 우러나와서 속이 든든했습니다 식당 내부가 깨끗하고 정리정돈이 잘 되어 있어서 위생적이라는 느낌을 받았어요 직원분들 서비스도 좋았고요,
진안숯불구이,17387852,2인A세트로 주문했는데 구성이 알차고 좋았어요. 다양한 메뉴를 조금씩 맛볼 수 있어서 만족스러웠고요. 식당 인테리어도 세련되고 깔끔해서 편안하게 식사할 수 있었습니다. 서비스도 빠르고 친절했어요.,2025-10-29,347,2인세트로 주문했는데 구성이 알차고 좋았어요 다양한 메뉴를 조금씩 맛볼 수 있어서 만족스러웠고요 식당 인테리어도 세련되고 깔끔해서 편안하게 식사할 수 있었습니다 서비스도 빠르고 친절했어요,
